  code   ,rgb             ,hex    ,name
  8905 C ,"rgb(181,82,93)  ",#B5525D,    
  8920 C ,"rgb(161,93,66)  ",#A15D42,    
  8921 C ,"rgb(179,82,41)  ",#B35229,    
  8922 C ,"rgb(183,79,13)  ",#B74F0D,    
  8923 C ,"rgb(184,74,31)  ",#B84A1F,    
  8924 C ,"rgb(180,79,45)  ",#B44F2D,    
  8925 C ,"rgb(175,84,56)  ",#AF5438,    
  8940 C ,"rgb(162,99,42)  ",#A2632A,    
  8941 C ,"rgb(169,95,28)  ",#A95F1C,    
  8942 C ,"rgb(174,89,11)  ",#AE590B,    
  8943 C ,"rgb(189,90,0)   ",#BD5A00,    
  8944 C ,"rgb(184,94,23)  ",#B85E17,    
  8945 C ,"rgb(175,97,44)  ",#AF612C,    
  8960 C ,"rgb(155,112,44) ",#9B702C,    
  8961 C ,"rgb(166,104,30) ",#A6681E,    
  8962 C ,"rgb(173,108,0)  ",#AD6C00,    
  8963 C ,"rgb(181,99,0)   ",#B56300,    
  8964 C ,"rgb(173,102,28) ",#AD661C,    
  8965 C ,"rgb(169,109,47) ",#A96D2F,    
  10101 C,"rgb(212,213,212)",#D4D5D4,    
  10102 C,"rgb(195,197,196)",#C3C5C4,    
  10103 C,"rgb(185,187,187)",#B9BBBB,    
  10104 C,"rgb(173,176,177)",#ADB0B1,    
  10105 C,"rgb(170,173,174)",#AAADAE,    
  10106 C,"rgb(171,171,116)",#ABAB74,    
  10107 C,"rgb(172,170,98) ",#ACAA62,    
  10108 C,"rgb(176,171,79) ",#B0AB4F,    
  10109 C,"rgb(178,170,60) ",#B2AA3C,    
  10110 C,"rgb(183,171,38) ",#B7AB26,    
  10111 C,"rgb(191,176,0)  ",#BFB000,    
  10112 C,"rgb(170,170,136)",#AAAA88,    
  10113 C,"rgb(172,169,112)",#ACA970,    
  10114 C,"rgb(174,167,92) ",#AEA75C,    
  10115 C,"rgb(176,165,73) ",#B0A549,    
  10116 C,"rgb(181,165,54) ",#B5A536,    
  10117 C,"rgb(186,163,31) ",#BAA31F,    
  10118 C,"rgb(174,164,111)",#AEA46F,    
  10119 C,"rgb(178,162,92) ",#B2A25C,    
